ciarovy_kod,vzdialenost,priemer
,918.83,404.6140
,919.83,404.5329
,920.83,404.5147
,921.83,404.5468
,922.83,404.6136
,923.83,404.6066
,924.83,404.5431
,925.83,404.4931
,926.83,404.5058
,927.83,404.5692
,928.83,404.6137
,929.83,404.5870
,930.83,404.4988
,931.83,404.4702
,932.83,404.5022
,933.83,404.5804
,934.83,404.5923
,935.83,404.5669
,936.83,404.4872
,937.83,404.4714
,938.83,404.5019
,939.83,404.5846
,940.83,404.5896
,941.83,404.5362
,942.83,404.4682
,943.83,404.5031
,944.83,404.5764
,945.83,404.5963
,946.83,404.5520
,947.83,404.4747
,948.83,404.4709
,949.83,404.5203
,950.83,404.5983
,951.83,404.5983
,952.83,404.5480
,953.83,404.4995
,954.83,404.5212
,955.83,404.6081
,956.83,404.6701
,957.83,404.6474
,958.83,404.5402
,959.83,404.4957
,960.83,404.5228
,961.83,404.6224
,962.83,404.6735
,963.83,404.6297
,964.83,404.5444
,965.83,404.5217
,966.83,404.5782
,967.83,404.6712
,968.83,404.7091
,969.83,404.6391
,970.83,404.5658
,971.83,404.5574
,972.83,404.6237
,973.83,404.7003
,974.83,404.6815
,975.83,404.6104
,976.83,404.5810
,977.83,404.6314
,978.83,404.7088
,979.83,404.7285
,980.83,404.6883
,981.83,404.6264
,982.83,404.6420
,983.83,404.6789
,984.83,404.7683
,985.83,404.7620
,986.83,404.7025
,987.83,404.6612
,988.83,404.6748
,989.83,404.7375
,990.83,404.7425
,991.83,404.7040
,992.83,404.6623
,993.83,404.6857
,994.83,404.7176
,995.83,404.7623
,996.83,404.7445
,997.83,404.7149
,998.83,404.6486
,999.83,404.6555
,1000.83,404.7091
,1001.83,404.7776
,1002.83,404.7820
,1003.83,404.6791
,1004.83,404.6320
,1005.83,404.6425
,1006.83,404.7560
,1007.83,404.7817
,1008.83,404.7514
,1009.83,404.6339
,1010.83,404.6191
,1011.83,404.6996
,1012.83,404.8118
,1013.83,404.8118
,1014.83,404.7643
,1015.83,404.7124
,1016.83,404.7173
,1017.83,404.7534
,1018.83,404.8113
,1019.83,404.8053
,1020.83,404.7509
,1021.83,404.7357
,1022.83,404.7569
,1023.83,404.7811
,1024.83,404.7688
,1025.83,404.7141
,1026.83,404.6924
,1027.83,404.6882
,1028.83,404.7302
,1029.83,404.8040
,1030.83,404.7700
,1031.83,404.7125
,1032.83,404.7076
,1033.83,404.7607
,1034.83,404.8534
,1035.83,404.9191
,1036.83,404.8596
,1037.83,404.7609
,1038.83,404.7520
,1039.83,404.8047
,1040.83,404.8556
,1041.83,404.8646
,1042.83,404.8009
,1043.83,404.7747
,1044.83,404.7706
,1045.83,404.7166
,1046.83,404.4975
,1047.83,404.0300
,1048.83,403.6050
,1049.83,403.5300
,1050.83,403.5242
,1051.83,403.5185
,1052.83,403.5112
,1053.83,403.5068
,1054.83,403.5027
,1055.83,403.4980
,1056.83,403.4941
,1057.83,403.4896
,1058.83,403.4854
,1059.83,403.4784
,1060.83,403.4742
,1061.83,403.4736
,1062.83,403.4692
,1063.83,403.4627
,1064.83,403.4588
,1065.83,403.4559
,1066.83,403.4524
,1067.83,403.4500
,1068.83,403.4459
,1069.83,403.4450
,1070.83,403.4431
,1071.83,403.4428
,1072.83,403.4423
,1073.83,403.4393
,1074.83,403.4354
,1075.83,403.4343
,1076.83,403.4339
,1077.83,403.4322
,1078.83,403.4301
,1079.83,403.4288
,1080.83,403.4290
,1081.83,403.4270
,1082.83,403.4258
,1083.83,403.4266
,1084.83,403.4242
,1085.83,403.4187
,1086.83,403.4142
,1087.83,403.4124
,1088.83,403.4136
,1089.83,403.4140
,1090.83,403.4130
,1091.83,403.4118
,1092.83,403.4147
,1093.83,403.4169
,1094.83,403.4164
,1095.83,403.4115
,1096.83,403.4099
,1097.83,403.4102
,1098.83,403.4142
,1099.83,403.4152
,1100.83,403.4131
,1101.83,403.4098
,1102.83,403.4099
,1103.83,403.4074
,1104.83,403.4047
,1105.83,403.4029
,1106.83,403.4058
,1107.83,403.4056
,1108.83,403.4032
,1109.83,403.4027
,1110.83,403.4021
,1111.83,403.4023
,1112.83,403.4030
,1113.83,403.4015
,1114.83,403.4020
,1115.83,403.4032
,1116.83,403.4074
,1117.83,403.4040
,1118.83,403.4016
,1119.83,403.4026
,1120.83,403.4050
,1121.83,403.4034
,1122.83,403.4021
,1123.83,403.3994
,1124.83,403.4022
,1125.83,403.4033
,1126.83,403.4051
,1127.83,403.4037
,1128.83,403.4035
,1129.83,403.4027
,1130.83,403.4035
,1131.83,403.4058
,1132.83,403.4049
,1133.83,403.4038
,1134.83,403.4011
,1135.83,403.4023
,1136.83,403.4054
,1137.83,403.4064
,1138.83,403.4029
,1139.83,403.4004
,1140.83,403.3987
,1141.83,403.3984
,1142.83,403.3969
,1143.83,403.3998
,1144.83,403.4010
,1145.83,403.4028
,1146.83,403.4040
,1147.83,403.4057
,1148.83,403.4026
,1149.83,403.4021
,1150.83,403.4032
,1151.83,403.4024
,1152.83,403.4021
,1153.83,403.3977
,1154.83,403.3974
,1155.83,403.4006
,1156.83,403.4064
,1157.83,403.4080
,1158.83,403.4071
,1159.83,403.4039
,1160.83,403.4042
,1161.83,403.4049
,1162.83,403.4089
,1163.83,403.4059
,1164.83,403.4038
,1165.83,403.4015
,1166.83,403.4034
,1167.83,403.4048
,1168.83,403.4044
,1169.83,403.4078
,1170.83,403.4097
,1171.83,403.4107
,1172.83,403.4077
,1173.83,403.4062
,1174.83,403.4083
,1175.83,403.4082
,1176.83,403.4097
,1177.83,403.4063
,1178.83,403.4058
,1179.83,403.4038
,1180.83,403.4034
,1181.83,403.4039
,1182.83,403.4031
,1183.83,403.4061
,1184.83,403.4075
,1185.83,403.4056
,1186.83,403.4023
,1187.83,403.4037
,1188.83,403.4036
,1189.83,403.4042
,1190.83,403.4036
,1191.83,403.4021
,1192.83,403.4032
,1193.83,403.4055
,1194.83,403.4049
,1195.83,403.4031
,1196.83,403.4029
,1197.83,403.4021
,1198.83,403.4016
,1199.83,403.4047
,1200.83,403.4049
,1201.83,403.4073
,1202.83,403.4041
,1203.83,403.4021
,1204.83,403.4041
,1205.83,403.4084
,1206.83,403.4075
,1207.83,403.4060
,1208.83,403.4078
,1209.83,403.4060
,1210.83,403.4043
,1211.83,403.4058
,1212.83,403.4083
,1213.83,403.4068
,1214.83,403.4041
,1215.83,403.4064
,1216.83,403.4090
,1217.83,403.4071
,1218.83,403.4048
,1219.83,403.4007
,1220.83,403.4039
,1221.83,403.4039
,1222.83,403.4043
,1223.83,403.4057
,1224.83,403.4093
,1225.83,403.4115
,1226.83,403.4124
,1227.83,403.4108
,1228.83,403.4076
,1229.83,403.4063
,1230.83,403.4062
,1231.83,403.4059
,1232.83,403.4080
,1233.83,403.4061
,1234.83,403.4057
,1235.83,403.4067
,1236.83,403.4059
,1237.83,403.4076
,1238.83,403.4099
,1239.83,403.4092
,1240.83,403.4070
,1241.83,403.4106
,1242.83,403.4108
,1243.83,403.4118
,1244.83,403.4102
,1245.83,403.4104
,1246.83,403.4096
,1247.83,403.4100
,1248.83,403.4124
,1249.83,403.4137
,1250.83,403.4126
,1251.83,403.4146
,1252.83,403.4178
,1253.83,403.4167
,1254.83,403.4157
,1255.83,403.4123
,1256.83,403.4112
,1257.83,403.4138
,1258.83,403.4157
,1259.83,403.4175
,1260.83,403.4195
,1261.83,403.4195
,1262.83,403.4187
,1263.83,403.4178
,1264.83,403.4199
,1265.83,403.4195
,1266.83,403.4214
,1267.83,403.4219
,1268.83,403.4247
,1269.83,403.4296
,1270.83,403.4332
,1271.83,403.4322
,1272.83,403.4310
,1273.83,403.4334
,1274.83,403.4350
,1275.83,403.4357